"","x"
"139","lh.aparc.a2009s.stats.434.MeanCurv.S_parieto_occipital"
"140","lh.aparc.a2009s.stats.435.MeanCurv.S_pericallosal"
"141","lh.aparc.a2009s.stats.436.MeanCurv.S_postcentral"
"142","lh.aparc.a2009s.stats.437.MeanCurv.S_precentral-inf-part"
"143","lh.aparc.a2009s.stats.438.MeanCurv.S_precentral-sup-part"
"144","lh.aparc.a2009s.stats.439.MeanCurv.S_suborbital"
"145","lh.aparc.a2009s.stats.440.MeanCurv.S_subparietal"
"146","lh.aparc.a2009s.stats.441.MeanCurv.S_temporal_inf"
"147","lh.aparc.a2009s.stats.442.MeanCurv.S_temporal_sup"
"148","lh.aparc.a2009s.stats.443.MeanCurv.S_temporal_transverse"
"149","lh.aparc.a2009s.stats.444.GausCurv.G_and_S_frontomargin"
"150","lh.aparc.a2009s.stats.445.GausCurv.G_and_S_occipital_inf"
"151","lh.aparc.a2009s.stats.446.GausCurv.G_and_S_paracentral"
"152","lh.aparc.a2009s.stats.447.GausCurv.G_and_S_subcentral"
"153","lh.aparc.a2009s.stats.448.GausCurv.G_and_S_transv_frontopol"
"154","lh.aparc.a2009s.stats.449.GausCurv.G_and_S_cingul-Ant"
"155","lh.aparc.a2009s.stats.450.GausCurv.G_and_S_cingul-Mid-Ant"
"156","lh.aparc.a2009s.stats.451.GausCurv.G_and_S_cingul-Mid-Post"
"157","lh.aparc.a2009s.stats.452.GausCurv.G_cingul-Post-dorsal"
"158","lh.aparc.a2009s.stats.453.GausCurv.G_cingul-Post-ventral"
"159","lh.aparc.a2009s.stats.454.GausCurv.G_cuneus"
"160","lh.aparc.a2009s.stats.455.GausCurv.G_front_inf-Opercular"
"161","lh.aparc.a2009s.stats.456.GausCurv.G_front_inf-Orbital"
"162","lh.aparc.a2009s.stats.457.GausCurv.G_front_inf-Triangul"
"163","lh.aparc.a2009s.stats.458.GausCurv.G_front_middle"
"164","lh.aparc.a2009s.stats.459.GausCurv.G_front_sup"
"165","lh.aparc.a2009s.stats.460.GausCurv.G_Ins_lg_and_S_cent_ins"
"166","lh.aparc.a2009s.stats.461.GausCurv.G_insular_short"
"167","lh.aparc.a2009s.stats.462.GausCurv.G_occipital_middle"
"168","lh.aparc.a2009s.stats.463.GausCurv.G_occipital_sup"
"169","lh.aparc.a2009s.stats.464.GausCurv.G_oc-temp_lat-fusifor"
"170","lh.aparc.a2009s.stats.465.GausCurv.G_oc-temp_med-Lingual"
"171","lh.aparc.a2009s.stats.466.GausCurv.G_oc-temp_med-Parahip"
"172","lh.aparc.a2009s.stats.467.GausCurv.G_orbital"
"173","lh.aparc.a2009s.stats.468.GausCurv.G_pariet_inf-Angular"
"174","lh.aparc.a2009s.stats.469.GausCurv.G_pariet_inf-Supramar"
"175","lh.aparc.a2009s.stats.470.GausCurv.G_parietal_sup"
"176","lh.aparc.a2009s.stats.471.GausCurv.G_postcentral"
"177","lh.aparc.a2009s.stats.472.GausCurv.G_precentral"
"178","lh.aparc.a2009s.stats.473.GausCurv.G_precuneus"
"179","lh.aparc.a2009s.stats.474.GausCurv.G_rectus"
"180","lh.aparc.a2009s.stats.475.GausCurv.G_subcallosal"
"181","lh.aparc.a2009s.stats.476.GausCurv.G_temp_sup-G_T_transv"
"182","lh.aparc.a2009s.stats.477.GausCurv.G_temp_sup-Lateral"
"183","lh.aparc.a2009s.stats.478.GausCurv.G_temp_sup-Plan_polar"
"184","lh.aparc.a2009s.stats.479.GausCurv.G_temp_sup-Plan_tempo"
"185","lh.aparc.a2009s.stats.480.GausCurv.G_temporal_inf"
"186","lh.aparc.a2009s.stats.481.GausCurv.G_temporal_middle"
"187","lh.aparc.a2009s.stats.482.GausCurv.Lat_Fis-ant-Horizont"
"188","lh.aparc.a2009s.stats.483.GausCurv.Lat_Fis-ant-Vertical"
"189","lh.aparc.a2009s.stats.484.GausCurv.Lat_Fis-post"
"190","lh.aparc.a2009s.stats.485.GausCurv.Pole_occipital"
"191","lh.aparc.a2009s.stats.486.GausCurv.Pole_temporal"
